customer_code,paid_date,channel,subchannel,sku_code
C60641675726,2024-01-01,EC,MPS,P348791409690
C60641675726,2023-12-28,Retail,Store,P2453741412577
C60641675726,2023-12-28,EC,Douyin,P3358054710180
C60641675726,2023-07-01,EC,.CN,P14156676524
C60641675726,2023-04-12,EC,.CN,P018304047905
C60641675726,2023-03-02,EC,MPS,P964417413321
C60641675726,2023-06-20,EC,.CN,P452333526678
C60641675726,2023-10-26,Retail,Store,P5202187214137
C60641675726,2023-06-09,EC,MPS,P73075471642
C60641675726,2023-06-13,EC,.CN,P26705875800
C60641675726,2023-10-29,EC,.CN,P7279037613541
C47903163791,2023-07-15,EC,.CN,P2983456313629
C243257791852,2023-11-21,EC,Douyin,P82871354639
C243257791852,2023-03-26,Retail,Store,P381893578647
C243257791852,2023-10-22,Retail,Store,P7210098910082
C243257791852,2023-09-27,EC,.CN,P762416021111
C243257791852,2023-05-14,EC,Tmall,P38938676179
C243257791852,2023-11-17,Retail,Store,P1026504313719
C243257791852,2023-03-19,Retail,Store,P681956837299
C243257791852,2023-12-23,EC,.CN,P8953856111228
C243257791852,2023-02-15,Retail,Store,P457749521359
C243257791852,2023-12-06,Retail,Store,P860866658422
C243257791852,2023-03-25,EC,Douyin,P125925203929
C243257791852,2023-12-02,EC,JD,P206111434427
C243257791852,2023-12-26,Retail,Store,P5109500611204
C243257791852,2023-12-07,EC,JD,P22210972822
C243257791852,2023-07-21,EC,JD,P645633183952
C243257791852,2023-12-24,EC,.CN,P2647998414132
C243257791852,2023-06-09,Retail,Store,P837473171136
C243257791852,2023-05-29,Retail,Store,P2384850510919
C243257791852,2024-01-04,Retail,Store,P591890252002
C243257791852,2023-09-06,EC,JD,P633072714518
C243257791852,2023-06-20,Retail,Store,P600299857037
C243257791852,2023-10-03,Retail,Store,P932726695286
C243257791852,2023-02-10,Retail,Store,P843951451937
C897664701621,2023-05-26,EC,.CN,P169219291108
C34090972990,2023-05-02,Retail,Store,P015140923677
C34090972990,2024-01-09,EC,Tmall,P869433341168
C976537671464,2023-03-05,Retail,Store,P4806540311665
C976537671464,2023-11-14,EC,.CN,P9081143213120
C096972761779,2023-08-15,Retail,Store,P072981932006
C17939121333,2024-01-13,EC,JD,P29167700416
C17939121333,2023-05-07,EC,MPS,P760585403397
C38304130503,2023-03-05,EC,Tmall,P375715095975
C486530961630,2024-01-10,EC,.CN,P79545958689
C63502737964,2023-05-19,EC,.CN,P63736937216
C788816091269,2023-01-31,Retail,Store,P964560347706
C788816091269,2023-04-25,EC,.CN,P560364468250
C03968016713,2023-02-08,EC,Douyin,P52796222165
C53878681231,2023-03-23,EC,MPS,P556639655323
C90270098809,2023-09-26,EC,MPS,P942951001225
C90270098809,2023-03-13,EC,Tmall,P846917174919
C90270098809,2023-05-15,EC,Douyin,P450299864777
C90270098809,2023-04-19,EC,Douyin,P83466854620
C04009593158,2023-07-12,EC,Douyin,P311417902678
C006109781019,2023-05-28,EC,JD,P723801859965
C1752261219,2023-05-04,EC,Douyin,P145124309671
C1752261219,2023-11-30,EC,Douyin,P978263199823
C29552138179,2023-03-05,EC,Douyin,P01882165766
C29552138179,2023-06-11,EC,Tmall,P588455354902
C29552138179,2023-09-11,Retail,Store,P800083819057
C90387629792,2023-09-26,Retail,Store,P203997933402
C4058175727,2023-06-14,EC,.CN,P61689126812
C082382651406,2023-10-14,EC,JD,P482163868102
C082382651406,2023-04-27,EC,Tmall,P5613370512341
C082382651406,2023-11-23,EC,Douyin,P528914856655
C082382651406,2023-07-30,EC,MPS,P8936146413810
C795428311013,2023-10-30,Retail,Store,P0526566812388
C015317331881,2023-02-11,Retail,Store,P825212692173
C015317331881,2023-06-02,EC,.CN,P8858923211096
C015317331881,2023-08-01,Retail,Store,P809315232341
C86321267338,2023-05-16,Retail,Store,P660429242923
C86321267338,2023-04-15,EC,JD,P4987455111341
C86321267338,2023-06-26,Retail,Store,P347364623525
C644623921766,2023-07-06,EC,Tmall,P188525563367
C644623921766,2023-05-30,Retail,Store,P439345452883
C754901761243,2023-03-17,EC,.CN,P4498913811934
C754901761243,2023-04-29,EC,MPS,P0730555814088
C754901761243,2023-06-25,Retail,Store,P7314463213197
C347447201977,2023-10-20,EC,JD,P189838693731
C1070815271,2023-06-29,EC,MPS,P660008971485
C1070815271,2023-10-27,Retail,Store,P069485134623
C1070815271,2023-07-18,EC,.CN,P9058439911949
C1070815271,2023-03-23,Retail,Store,P1115075211835
C1070815271,2023-04-22,Retail,Store,P540363481264
C1070815271,2023-09-12,Retail,Store,P069556587242
C1070815271,2023-05-09,Retail,Store,P453027906277
C1070815271,2023-07-05,Retail,Store,P135578845784
C1070815271,2023-10-10,Retail,Store,P48442913109
C1070815271,2023-03-09,EC,MPS,P019545504779
C1070815271,2024-01-22,Retail,Store,P3683022910097
C1070815271,2023-03-05,Retail,Store,P198953993284
C1070815271,2023-05-18,Retail,Store,P489521254058
C1070815271,2023-09-05,Retail,Store,P355564901721
C1070815271,2023-03-22,Retail,Store,P840867319975
C1070815271,2023-06-26,EC,Douyin,P69865319910
C1070815271,2023-06-10,Retail,Store,P477761501755
C1070815271,2023-10-09,EC,Tmall,P32158323460
C1070815271,2023-09-22,Retail,Store,P572144497597
C1070815271,2023-12-01,EC,JD,P368906186189
C1070815271,2023-10-30,Retail,Store,P952995212759
C1070815271,2023-05-26,Retail,Store,P769593468608
C1070815271,2023-06-22,Retail,Store,P4689482910264
C1070815271,2024-01-13,Retail,Store,P3452556413789
C1070815271,2023-08-04,EC,Tmall,P794779168892
C1070815271,2023-07-31,Retail,Store,P8498673711640
C1070815271,2023-05-18,EC,Douyin,P932842766671
C1070815271,2023-05-29,Retail,Store,P6618297410016
C1070815271,2023-11-18,Retail,Store,P535527357106
C1070815271,2023-05-30,EC,.CN,P913008407398
C1070815271,2023-04-08,Retail,Store,P627911047483
C1070815271,2023-06-15,EC,.CN,P7586475513864
C1070815271,2023-06-11,EC,MPS,P5384377411534
C1070815271,2023-02-26,Retail,Store,P869178687756
C1070815271,2023-12-16,Retail,Store,P49930212133
C1070815271,2023-07-21,Retail,Store,P034469462578
C1070815271,2023-04-04,Retail,Store,P922313701313
C1070815271,2024-01-15,Retail,Store,P514110973185
C1070815271,2023-12-22,Retail,Store,P233708441801
C1070815271,2024-01-09,EC,MPS,P490861251479
C1070815271,2023-11-29,EC,.CN,P436846182806
C1070815271,2023-07-02,Retail,Store,P439762679184
C1070815271,2023-07-25,EC,Tmall,P658276251055
C1070815271,2023-11-06,EC,Tmall,P796507964559
C1070815271,2023-02-05,Retail,Store,P355847307435
C1070815271,2023-05-27,Retail,Store,P0864402810124
C1070815271,2023-12-15,EC,JD,P149012331253
C1070815271,2024-01-23,Retail,Store,P035585772740
C1070815271,2023-12-26,EC,JD,P452253818196
C1070815271,2023-10-14,EC,.CN,P186855964891
C1070815271,2023-11-27,EC,.CN,P501502145259
C1070815271,2024-01-23,EC,MPS,P211449076144
C1070815271,2023-02-23,EC,JD,P8997484311015
C1070815271,2023-02-12,EC,Douyin,P7284804913454
C1070815271,2023-12-01,EC,Tmall,P86910460856
C1070815271,2023-12-13,Retail,Store,P824669986833
C1070815271,2023-05-07,EC,Tmall,P9998195518
C1070815271,2023-08-25,Retail,Store,P670025811023
C1070815271,2023-05-07,EC,.CN,P6646475811748
C1070815271,2023-03-10,Retail,Store,P26717176749
C1070815271,2024-01-19,EC,JD,P2753859313199
C1070815271,2023-03-31,EC,MPS,P819023401557
C1070815271,2023-08-14,EC,Douyin,P2823494213930
C887313411371,2024-01-23,EC,JD,P729894945945
C92776624893,2023-10-17,Retail,Store,P596002608496
C92776624893,2023-07-13,Retail,Store,P2862199811005
C92776624893,2023-06-09,EC,.CN,P995051262059
C92776624893,2023-11-01,Retail,Store,P306714046917
C92776624893,2023-05-10,Retail,Store,P002366485969
C92776624893,2023-08-09,EC,MPS,P033421537244
C92776624893,2023-10-22,EC,Tmall,P988537381577
C92776624893,2023-02-20,Retail,Store,P9214974114159
C92776624893,2023-03-23,Retail,Store,P5700866012796
C92776624893,2023-06-25,EC,Douyin,P407218487277
C92776624893,2023-06-09,Retail,Store,P735635647637
C92776624893,2023-09-04,Retail,Store,P091904972853
C92776624893,2023-06-19,Retail,Store,P905091094143
C92776624893,2023-12-17,EC,.CN,P812773651956
C92776624893,2023-05-14,EC,Douyin,P7778006011328
C92776624893,2023-03-20,Retail,Store,P598915651670
C92776624893,2024-01-05,Retail,Store,P110423901438
C92776624893,2023-08-05,EC,.CN,P924123906310
C92776624893,2023-11-03,EC,Tmall,P799313256308
C92776624893,2023-12-21,Retail,Store,P032133336127
C92776624893,2024-01-13,Retail,Store,P2564916410298
C92776624893,2023-08-02,EC,.CN,P944952672451
C92776624893,2023-04-05,Retail,Store,P756664217521
C92776624893,2023-02-02,Retail,Store,P73041367484
C92776624893,2023-11-02,EC,Douyin,P8766474710750
C02604840462,2023-08-17,EC,Douyin,P300748311094
C02604840462,2023-12-15,EC,.CN,P047274855277
C02604840462,2023-12-15,EC,JD,P302882012268
C02604840462,2024-01-07,Retail,Store,P0236892114335
C1365398842,2023-04-26,Retail,Store,P136569493430
C1365398842,2023-05-18,Retail,Store,P385705074426
C1365398842,2023-02-21,EC,JD,P660008971485
C1365398842,2023-05-23,Retail,Store,P77992268957
C23504847466,2023-08-27,EC,JD,P91069619258
C075318091920,2024-01-02,Retail,Store,P029771147543
C075318091920,2023-07-07,Retail,Store,P073652228646
C075318091920,2023-03-03,Retail,Store,P241742055914
C075318091920,2023-05-10,EC,.CN,P410007011534
C89698657323,2023-09-20,EC,Tmall,P214988446021
C89698657323,2023-07-06,EC,Tmall,P936541075739
C89698657323,2024-01-14,EC,Douyin,P319683492017
C43886280596,2023-10-06,Retail,Store,P0843949111633
C699085391990,2023-12-13,EC,Tmall,P340225536424
C699085391990,2023-07-15,Retail,Store,P8052686013057
C699085391990,2023-04-24,Retail,Store,P249373168763
C699085391990,2023-05-16,Retail,Store,P868820187432
C699085391990,2023-04-11,Retail,Store,P493923861681
C616348921886,2023-02-24,EC,Douyin,P9773500713981
C616348921886,2023-04-25,EC,JD,P241189546133
C616348921886,2023-12-14,EC,Douyin,P206400786499
C616348921886,2023-12-02,EC,.CN,P825576237485
C809311181208,2023-12-12,EC,Douyin,P431062485899
C10095660368,2023-04-15,EC,JD,P2913353110208
C10095660368,2023-05-12,EC,Douyin,P4844278813996
C10095660368,2023-07-08,EC,Douyin,P022580013147
C04136971615,2023-11-14,EC,JD,P7304067613919
C04136971615,2023-06-21,EC,Tmall,P801207637329
C04136971615,2023-10-14,EC,MPS,P317970603295
C04136971615,2023-02-17,EC,MPS,P162796201752
C04136971615,2023-09-15,Retail,Store,P3946612112269
C04136971615,2023-10-15,Retail,Store,P01882165766
C04136971615,2023-08-03,EC,MPS,P0513360113911
C04136971615,2023-01-31,Retail,Store,P67956346470
C04136971615,2024-01-01,EC,MPS,P623520347997
C04136971615,2023-11-08,EC,.CN,P610316423862
C04136971615,2023-11-01,EC,.CN,P548849162910
C04136971615,2023-05-10,EC,Douyin,P2802396811304
C04136971615,2023-04-25,EC,.CN,P735505054882
C04136971615,2023-03-14,EC,Tmall,P647339919200
C04136971615,2023-12-19,EC,MPS,P898002956561
C04136971615,2023-09-04,Retail,Store,P4034830210691
C04136971615,2023-08-05,Retail,Store,P487385055197
C04136971615,2023-03-01,Retail,Store,P197306619107
C04136971615,2023-06-02,EC,Tmall,P514110973185
C04136971615,2023-12-08,EC,Douyin,P476778308369
C04136971615,2023-04-09,Retail,Store,P926093034739
C04136971615,2023-04-04,Retail,Store,P9245067113933
C04136971615,2023-02-22,EC,.CN,P414656813364
C04136971615,2023-04-19,Retail,Store,P749114376910
C04136971615,2023-07-11,EC,MPS,P415504421626
C04136971615,2023-03-25,EC,Douyin,P004942935505
C04136971615,2023-12-15,EC,JD,P8082097913234
C081909241877,2024-01-19,Retail,Store,P485330137558
C472585411197,2023-09-20,EC,.CN,P010300541566
C472585411197,2023-10-12,Retail,Store,P795072973639
C49781960704,2023-10-25,Retail,Store,P115180213500
C26904030105,2023-06-18,Retail,Store,P597549823312
C26904030105,2023-02-11,EC,MPS,P439762679184
C26904030105,2023-12-13,EC,JD,P858360161293
C26904030105,2023-06-19,EC,MPS,P903850146120
C26904030105,2023-08-02,Retail,Store,P516299044815
C26904030105,2023-10-10,Retail,Store,P55152033649
C151133371557,2023-08-11,Retail,Store,P14156676524
C151133371557,2024-01-19,EC,Douyin,P495219334538
C151133371557,2023-09-28,EC,.CN,P4647258013914
C31087110340,2023-11-20,EC,Tmall,P185408288019
C086798661207,2023-09-22,EC,MPS,P217991202717
C086798661207,2023-11-14,EC,JD,P2453741412577
C086798661207,2023-12-21,EC,Tmall,P6143473411859
C086798661207,2024-01-10,EC,.CN,P1596857913510
C12359848223,2023-12-19,Retail,Store,P680240348707
C13206248802,2023-06-15,Retail,Store,P22366911959
C49480182850,2023-09-22,Retail,Store,P438963677399
C46907144904,2023-08-17,EC,JD,P4730133610537
C64990251748,2023-02-27,Retail,Store,P821524207490
C59597820392,2023-06-01,EC,Douyin,P66031408278
C59597820392,2023-04-17,Retail,Store,P935498934544
C59597820392,2023-11-09,EC,Douyin,P7649143610742
C59597820392,2023-11-30,Retail,Store,P7582068410600
C59597820392,2023-04-22,EC,JD,P64854791583
C59597820392,2023-12-15,EC,JD,P013890759214
C59597820392,2023-11-12,EC,MPS,P936337171974
C59597820392,2023-09-29,EC,.CN,P3998836610699
C59597820392,2023-11-07,Retail,Store,P9339475410844
C560127481289,2024-01-18,EC,.CN,P532202188852
C4988956386,2023-08-16,Retail,Store,P5175287714336
C4988956386,2023-11-14,Retail,Store,P813981804928
C74518203868,2024-01-13,Retail,Store,P571655414407
C12158956363,2023-07-25,Retail,Store,P1613514810061
C79554981474,2023-08-17,EC,Tmall,P4322806212127
C251075501605,2023-11-27,EC,Douyin,P8432185414297
C251075501605,2023-07-04,EC,JD,P264022936407
C251075501605,2023-09-09,EC,Douyin,P113284063290
C251075501605,2023-05-07,EC,JD,P495219334538
C251075501605,2023-02-03,Retail,Store,P9164657315
C251075501605,2023-08-09,Retail,Store,P909761494272
C251075501605,2023-12-15,Retail,Store,P2042490113377
C251075501605,2023-02-16,Retail,Store,P6660297313485
C251075501605,2023-02-06,Retail,Store,P179728644253
C251075501605,2023-03-22,EC,MPS,P5095709013984
C251075501605,2023-05-25,Retail,Store,P9998195518
C251075501605,2023-09-28,EC,.CN,P052869348665
C251075501605,2023-10-22,Retail,Store,P582974154510
C251075501605,2023-08-14,Retail,Store,P803884255064
C251075501605,2023-05-05,EC,Tmall,P4546171113588
C251075501605,2023-03-04,Retail,Store,P089970864074
C251075501605,2023-04-09,EC,JD,P426936777476
C251075501605,2023-07-02,EC,.CN,P828551214904
C251075501605,2023-03-05,Retail,Store,P936828482865
C251075501605,2023-06-08,Retail,Store,P2293085313538
C251075501605,2023-12-20,EC,JD,P26774736265
C251075501605,2023-12-05,Retail,Store,P709816081619
C251075501605,2023-05-26,Retail,Store,P8654580213938
C251075501605,2023-07-24,EC,.CN,P120921225299
C251075501605,2023-06-09,EC,JD,P651074835000
C251075501605,2023-02-01,EC,Tmall,P476851089693
C251075501605,2023-03-10,Retail,Store,P67450433308
C251075501605,2023-03-28,EC,Douyin,P747861107009
C251075501605,2023-03-20,Retail,Store,P694642966142
C251075501605,2023-07-01,EC,Douyin,P685963293223
C648213651707,2023-05-03,EC,Tmall,P642660663201
C648213651707,2024-01-22,Retail,Store,P8113355810167
C648213651707,2023-08-17,Retail,Store,P4907193913587
C789243811348,2023-07-26,Retail,Store,P540813167197
C789243811348,2023-08-09,Retail,Store,P7584091711713
C789243811348,2023-10-03,EC,.CN,P925149175326
C789243811348,2023-10-21,EC,MPS,P8696514612667
C789243811348,2023-06-01,EC,Tmall,P932195057914
C789243811348,2023-06-24,Retail,Store,P800739298487
C5249891439,2023-06-19,Retail,Store,P38529111371
C39661866939,2023-02-26,Retail,Store,P9968606611689
C368965781283,2023-11-05,EC,Douyin,P5159699612043
C77380536314,2023-12-12,Retail,Store,P9727500212301
C77380536314,2023-08-11,EC,.CN,P734837542845
C77380536314,2023-02-26,EC,JD,P100651225340
C77380536314,2024-01-26,Retail,Store,P2286777510651
C827794291509,2023-02-25,EC,MPS,P0304242413748
C827794291509,2023-03-12,Retail,Store,P792908863902
C827794291509,2023-06-22,EC,JD,P24792373472
C827794291509,2023-11-22,Retail,Store,P54726515136
C827794291509,2023-06-17,Retail,Store,P6117743111831
C886312481316,2023-11-30,Retail,Store,P550960044469
C886312481316,2023-03-30,Retail,Store,P3796221911805
C36941244586,2023-12-27,EC,MPS,P3200052312964
C99030578928,2024-01-18,EC,.CN,P077201489569
C076273591889,2023-02-15,Retail,Store,P836149649053
C076273591889,2023-05-25,Retail,Store,P578755002269
C076273591889,2023-06-13,Retail,Store,P092012097742
C076273591889,2023-09-29,EC,Douyin,P74498356612
C579191811188,2023-08-24,EC,Douyin,P74917690900
C268914171954,2023-03-31,Retail,Store,P593026246868
C39473586498,2023-06-24,EC,Tmall,P492612627453
C39473586498,2023-04-22,EC,.CN,P71484606430
C39473586498,2023-06-20,EC,JD,P444199936718
C39473586498,2023-02-14,Retail,Store,P501708166558
C39473586498,2023-10-18,Retail,Store,P380370714180
C39473586498,2023-07-11,Retail,Store,P528021936285
C12655841155,2023-12-09,EC,Douyin,P712811887923
C587762661961,2023-07-28,EC,.CN,P057329181369
C587762661961,2023-02-26,Retail,Store,P31378262235
C587762661961,2023-11-27,Retail,Store,P860208989710
C587762661961,2023-07-22,Retail,Store,P496794964607
C428002211115,2023-06-05,Retail,Store,P237872478394
C428002211115,2024-01-20,EC,Douyin,P441084547410
C428002211115,2023-09-27,EC,JD,P333137371455
C428002211115,2023-07-04,Retail,Store,P232493422305
C428002211115,2023-03-18,EC,.CN,P911454219256
C428002211115,2023-07-03,EC,.CN,P470497412636
C428002211115,2023-04-22,Retail,Store,P703860071701
C428002211115,2023-09-29,Retail,Store,P187126282504
C428002211115,2023-08-24,Retail,Store,P918578289240
C428002211115,2024-01-17,EC,.CN,P545834143061
C428002211115,2023-12-28,Retail,Store,P69865319910
C428002211115,2023-02-25,Retail,Store,P267190503589
C428002211115,2023-10-12,Retail,Store,P0400309911909
C428002211115,2023-11-22,Retail,Store,P351727541850
C428002211115,2023-11-18,EC,JD,P01788451125
C428002211115,2023-09-17,Retail,Store,P77012253388
C428002211115,2023-08-05,EC,.CN,P28075676848
C428002211115,2023-07-16,EC,.CN,P2547957313088
C428002211115,2023-08-21,EC,MPS,P501143421184
C428002211115,2023-09-08,EC,MPS,P650598948563
C428002211115,2023-06-06,EC,Douyin,P67956346470
C428002211115,2023-12-22,EC,Douyin,P780022305150
C428002211115,2023-09-10,Retail,Store,P642831995801
C428002211115,2023-06-24,EC,Tmall,P186855964891
C428002211115,2023-03-17,EC,MPS,P741525944404
C428002211115,2023-07-21,EC,.CN,P028087101003
C428002211115,2023-03-21,Retail,Store,P3059994213108
C428002211115,2023-10-07,Retail,Store,P24828671808
C428002211115,2023-09-05,Retail,Store,P843394032356
C428002211115,2023-07-16,EC,.CN,P107473033209
C428002211115,2023-12-13,Retail,Store,P680240348707
C428002211115,2023-12-19,EC,.CN,P032948868041
C428002211115,2023-09-13,Retail,Store,P373407993426
C428002211115,2023-08-10,EC,JD,P7329185714180
C428002211115,2023-11-15,Retail,Store,P681530878463
C428002211115,2023-02-14,Retail,Store,P1019246412009
C428002211115,2023-05-31,EC,JD,P34830529912
C428002211115,2023-12-04,EC,Tmall,P577351126363
C45542443877,2023-12-13,Retail,Store,P749117822020
C296207251401,2023-07-19,Retail,Store,P5083623512396
C109601091007,2023-05-16,EC,Douyin,P576659461975
C804217691131,2023-07-21,EC,JD,P640914433974
C45959750820,2023-07-17,Retail,Store,P5660350113564
C319248021830,2023-07-15,EC,Tmall,P9216048412061
C198784711417,2023-12-26,EC,Douyin,P839480991036
C42931872749,2023-09-11,Retail,Store,P293456534140
C42931872749,2023-08-02,Retail,Store,P775746483304
C513228581913,2023-12-07,Retail,Store,P9534898412679
C513228581913,2023-06-25,EC,Tmall,P194487278700
C513228581913,2023-12-22,EC,MPS,P169505445391
C513228581913,2023-07-15,Retail,Store,P700442146954
C649249061774,2023-06-30,Retail,Store,P413650539286
C80882549821,2023-03-16,Retail,Store,P863334514916
C941530951971,2024-01-17,Retail,Store,P870823713329
C668292221199,2023-10-31,Retail,Store,P550563153867
C668292221199,2023-06-01,EC,Douyin,P125201408754
C668292221199,2023-12-13,EC,MPS,P169505445391
C622292291906,2023-11-14,EC,Douyin,P969883753856
C622292291906,2023-03-26,EC,.CN,P686214875195
C622292291906,2023-09-16,EC,MPS,P079319148872
C622292291906,2023-10-18,Retail,Store,P9879160313294
C622292291906,2023-10-30,EC,Tmall,P762095092765
C622292291906,2023-03-29,EC,MPS,P742564488208
C622292291906,2023-04-27,EC,JD,P907760722398
C622292291906,2024-01-24,EC,JD,P110353835442
C622292291906,2023-08-10,Retail,Store,P9652606313049
C88316453653,2023-04-27,EC,.CN,P459991829981
C88316453653,2024-01-28,Retail,Store,P5638203013194
C88316453653,2023-05-29,Retail,Store,P011893655413
C88316453653,2023-02-15,Retail,Store,P434533867619
C35675307844,2023-07-19,Retail,Store,P779900244184
C35675307844,2023-04-25,Retail,Store,P751596473072
C35675307844,2023-04-07,EC,.CN,P462008801434
C67965074637,2023-08-02,Retail,Store,P424736804997
C464900501568,2023-03-14,Retail,Store,P2420462211868
C44471903203,2023-08-20,EC,Douyin,P245260309283
C730203861374,2023-03-31,EC,JD,P6605813113561
C03114308348,2023-12-04,Retail,Store,P218667404557
C70353458329,2023-11-28,Retail,Store,P294894594194
C60956694511,2024-01-15,Retail,Store,P834730946628
C60956694511,2023-07-25,EC,MPS,P043363168051
C60956694511,2023-10-19,EC,.CN,P327105088736
C60956694511,2023-04-25,EC,MPS,P009613576559
C60956694511,2023-06-02,Retail,Store,P928556696191
C60956694511,2023-04-14,EC,.CN,P6458697311593
C60956694511,2024-01-16,EC,Tmall,P534631242902
C60956694511,2023-03-02,Retail,Store,P061776847768
C60956694511,2023-11-18,Retail,Store,P219221303167
C60956694511,2023-07-19,EC,.CN,P69508818944
C60956694511,2023-04-15,EC,JD,P2410002911847
C230712521861,2024-01-07,Retail,Store,P347859792604
C011690961354,2023-08-31,EC,MPS,P5608890311975
C011690961354,2023-10-20,Retail,Store,P484222043985
C011690961354,2024-01-02,Retail,Store,P138431578105
C011690961354,2024-01-24,EC,JD,P118855701853
C011690961354,2023-08-14,Retail,Store,P7533028513902
C011690961354,2024-01-02,Retail,Store,P0841206013090
C011690961354,2023-09-24,EC,.CN,P0737172210938
C011690961354,2023-03-27,Retail,Store,P7341783912815
C011690961354,2023-11-18,Retail,Store,P136799305776
C011690961354,2023-12-08,EC,JD,P025981192241
C011690961354,2024-01-03,EC,MPS,P340944592182
C011690961354,2023-08-10,Retail,Store,P669419685800
C011690961354,2023-06-04,EC,MPS,P520688361128
C011690961354,2023-04-08,EC,.CN,P055525035393
C011690961354,2023-03-04,EC,Tmall,P237473007050
C011690961354,2023-08-27,EC,MPS,P399690765439
C011690961354,2024-01-22,EC,MPS,P847498665345
C011690961354,2023-10-09,EC,Tmall,P076990717780
C011690961354,2023-08-06,Retail,Store,P57716844410
C011690961354,2023-10-26,Retail,Store,P8313347711810
C011690961354,2023-04-20,EC,JD,P655164508525
C011690961354,2023-11-29,Retail,Store,P632641054866
C011690961354,2023-05-27,Retail,Store,P772160393328
C011690961354,2023-04-18,EC,.CN,P1553112013466
C011690961354,2023-10-10,EC,.CN,P9759217811454
C011690961354,2023-07-02,EC,JD,P201639785950
C011690961354,2023-10-23,EC,.CN,P198135075258
C011690961354,2023-12-29,Retail,Store,P4979588910480
C011690961354,2023-10-15,EC,JD,P793114954213
C011690961354,2023-02-16,Retail,Store,P198135075258
C011690961354,2023-05-03,Retail,Store,P405558701329
C011690961354,2023-03-01,EC,MPS,P6781379513939
C011690961354,2024-01-24,EC,MPS,P698878331484
C011690961354,2023-05-11,Retail,Store,P388032619785
C011690961354,2023-05-17,Retail,Store,P354343399488
C011690961354,2023-02-24,Retail,Store,P4329680611808
C011690961354,2023-10-23,Retail,Store,P690206374856
C011690961354,2023-09-14,EC,Douyin,P061906786361
C011690961354,2023-07-04,EC,MPS,P1172321212281
C011690961354,2023-08-04,EC,.CN,P713960105934
C011690961354,2023-09-08,Retail,Store,P373136942126
C011690961354,2023-12-24,EC,MPS,P05053947252
C011690961354,2023-05-28,Retail,Store,P010989649543
C011690961354,2023-04-13,EC,JD,P7628218412351
C011690961354,2023-07-30,EC,JD,P666768794998
C011690961354,2023-10-31,Retail,Store,P1175215812005
C011690961354,2023-05-27,EC,.CN,P713021254962
C011690961354,2023-05-30,EC,JD,P462984362695
C011690961354,2023-10-06,EC,Tmall,P12901460391
C011690961354,2024-01-21,EC,.CN,P248068004946
C011690961354,2023-06-21,Retail,Store,P4070350311150
C011690961354,2023-06-20,Retail,Store,P409582501118
